opcode,direction,bourgeon,client_len_type,client_len,replay_flag_f5,zone_recv_handler,server_len,names
0x0064,CZ,,FIX,55,0,,55,CA_LOGIN
0x0065,?,,FIX,17,0,,17,
0x0066,CZ,,FIX,3,0,,6,CH_SELECT_CHAR
0x0067,CZ,,FIX,37,0,,37,CH_MAKE_CHAR
0x0068,CZ,,FIX,46,0,,46,CH_DELETE_CHAR
0x0069,ZC,,VAR,47,0,,-1,AC_ACCEPT_LOGIN
0x006A,ZC,,FIX,23,0,,23,AC_REFUSE_LOGIN
0x006B,ZC,,VAR,24,0,,-1,HC_ACCEPT_ENTER
0x006C,ZC,,FIX,3,0,,3,HC_REFUSE_ENTER
0x006D,ZC,,FIX,157,0,,108,HC_ACCEPT_MAKECHAR
0x006E,ZC,,FIX,3,0,,3,HC_REFUSE_MAKECHAR
0x006F,ZC,,FIX,2,0,,2,HC_ACCEPT_DELETECHAR
0x0070,ZC,,FIX,3,0,,6,HC_REFUSE_DELETECHAR
0x0071,ZC,,FIX,28,0,,28,HC_NOTIFY_ZONESVR
0x0072,CZ,,FIX,22,0,,22,CZ:UseSkillToId
0x0073,ZC,,FIX,11,1,0xC9E996,,ZC_ACCEPT_ENTER
0x0074,ZC,,FIX,3,0,,,ZC_REFUSE_ENTER
0x0075,ZC,,VAR,11,1,0xC9E1DD,-1,
0x0076,ZC,,FIX,9,1,0xC9E1DD,9,
0x0077,ZC,,FIX,5,1,0xC9E1DD,5,
0x0078,ZC,,FIX,55,1,0xC9E499,,
0x0079,ZC,,FIX,53,1,0xCA0ED9,53,
0x007A,ZC,,FIX,58,1,0xC9E1DD,58,
0x007B,ZC,,FIX,60,1,0xC9E4E1,60,
0x007C,ZC,,FIX,44,1,0xC9E4D0,41,
0x007D,CZ,,FIX,2,0,,2,CZ:LoadEndAck
0x007E,CZ,,FIX,46,0,,105,CZ:UseSkillToPosMoreInfo
0x007F,ZC,,FIX,6,1,0xC9E809,,ZC_NOTIFY_TIME
0x0080,ZC,,FIX,7,1,0xC9E4F2,,ZC_NOTIFY_VANISH
0x0081,ZC,,FIX,3,0,0xC9E503,,SC_NOTIFY_BAN
0x0082,?,,FIX,2,0,,2,
0x0083,ZC,,FIX,2,1,0xC9E1DD,2,
0x0084,ZC,,FIX,2,1,0xC9E1DD,2,
0x0085,CZ,,FIX,10,0,,10,CZ:ChangeDir
0x0086,ZC,,FIX,16,1,0xC9E53A,,ZC_NOTIFY_MOVE
0x0087,ZC,,FIX,12,1,0xC9E5D4,,ZC_NOTIFY_PLAYERMOVE
0x0088,ZC,,FIX,10,1,0xCA00F1,,ZC_STOPMOVE
0x0089,CZ,,FIX,11,0,,11,CZ:TickSend
0x008A,ZC,,FIX,29,1,0xC9E65A,,ZC_NOTIFY_ACT
0x008B,ZC,,FIX,23,1,0xCA3AEB,2,
0x008C,CZ,,FIX,14,0,,14,CZ:GetCharNameRequest
0x008D,ZC,,VAR,8,1,0xC9E723,-1,ZC_NOTIFY_CHAT
0x008E,ZC,,VAR,4,1,0xC9E6EC,-1,
0x0090,CZ,,FIX,7,0,,,CZ_CONTACTNPC
0x0091,ZC,observed,FIX,22,1,0xC9E908,,ZC_NPCACK_MAPMOVE
0x0092,ZC,,FIX,28,1,0xC9E985,,ZC_NPCACK_SERVERMOVE
0x0093,ZC,,FIX,2,1,0xC9E919,2,
0x0094,CZ,,FIX,19,0,,19,CZ:MoveToKafra
0x0095,ZC,,FIX,30,1,0xC9EB2C,,ZC_ACK_REQNAMEALL_NPC
0x0096,CZ,,VAR,28,0,,-1,CZ:WisMessage
0x0097,ZC,,VAR,32,1,0xC9ECC6,,ZC_WHISPER
0x0098,ZC,,FIX,3,1,0xC9E1DD,,ZC_ACK_WHISPER
0x0099,CZ,,VAR,4,0,,,CZ_BROADCAST
0x009A,ZC,,VAR,4,1,0xC9ECB5,,"ZC_BROADCAST | ZC_REQ_EXCHANGE_ITEM"
0x009B,CZ,,FIX,34,0,,34,CZ:WantToConnection
0x009C,ZC,,FIX,9,1,0xC9EF39,,ZC_CHANGE_DIRECTION
