# id,cle MSI_*  --  extrait de g_MsgStringSymbolNames (0x0104F0A8) de l'exe VANILLA 20250716.
# 4355 entrees (0..4354). C'est CETTE table qui donne l'id d'une cle, PAS le numero
# de ligne de data\msgstringtable.csv : le csv livre a 4360 lignes et diverge des l'id 4075.
# Genere par tools/lang/gen_msgstring.py --ids (dump IDA).
0,MSI_DO_YOU_AGREE
1,MSI_SERVER_CONNECTION_FAILED
2,MSI_UNABLE_TO_CONNECT_SERVER
3,MSI_BANNED
4,MSI_SERVER_OFF
5,MSI_DOUBLE_LOGIN_PROHIBITED
6,MSI_INCORRECT_USERID
7,MSI_INCORRECT_PASSWORD
8,MSI_ID_EXPIRED
9,MSI_ACCESS_DENIED
10,MSI_CHARACTER_NAME_ALREADY_EXISTS
11,MSI_CHARACTER_CREATION_DENIED
12,MSI_CANNOT_DELETE_CHARACTER
13,MSI_ENTER_ROOM_TITLE
14,MSI_BAD_SENTANGE
15,MSI_ENTER_PASSWORD
16,MSI_Enter_Password_more_than_4_char
17,MSI_DO_YOU_REALLY_WANT_TO_QUIT
18,MSI_NAME_MUST_EXCEED_4_CHAR
19,MSI_DELETE_CHARACTER
20,MSI_BAD_NAME
21,MSI_ENTER_NAME_MORE_THAN_4_CHAR
22,MSI_LIST_COMMAND
23,MSI_EFFECT_ON
24,MSI_EFFECT_OFF
25,MSI_VOLUME_OF_SOUND
26,MSI_VOLUME_OF_BGM
27,MSI_SOUND_ON
28,MSI_SOUND_OFF
29,MSI_FRAME_SKIP_ON
30,MSI_FRAME_SKIP_OFF
31,MSI_BGM_ON
32,MSI_BGM_OFF
33,MSI_EXPLAIN_HELP
34,MSI_EXPLAIN_WHO
35,MSI_EXPLAIN_MUSIC
36,MSI_EXPLAIN_SOUND
37,MSI_EXPLAIN_EFFECT
38,MSI_EXPLAIN_POS
39,MSI_EXPLAIN_FRAMESKIP
40,MSI_EXPLAIN_SOUNDVOLUME
41,MSI_EXPLAIN_BGMVOLUME
42,MSI_EXPLAIN_SAYISOLATION
43,MSI_EXPLAIN_LIST_SAYISOLATION_CHAR
44,MSI_EXPLAIN_SAY_PERMIT
45,MSI_EXPLAIN_SAY_PERMITALL
46,MSI_EXPLAIN_SAY_ISOLATEALL
47,MSI_EXPLAIN_TIP1
48,MSI_EXPLAIN_TIP2
49,MSI_NO_SAME_SENTANCE
50,MSI_NO_SEND_BECAUSE_INSULT
51,MSI_CAN_DRAG_ITEM_OLNY_ONETIME
52,MSI_CANT_GET_ITEM_BECAUSE_WEIGHT
53,MSI_CANT_GET_ITEM
54,MSI_DEAL_SECCESS
55,MSI_INSUFFICIENT_MONEY
56,MSI_OVER_WEIGHT
57,MSI_DEAL_FAIL
58,MSI_REFUSE_HEAR_ALL
59,MSI_REQ_REFUSE_HEAR_ALL_FAIL
60,MSI_HEAR_ALL
61,MSI_REQ_HEAR_ALL_FAIL
62,MSI_NO_REFUSE_HEAR_LIST
63,MSI_REFUSE_HEAR_LIST
64,MSI_ROOM_IS_MADE
65,MSI_TOO_MANY_ROOM
66,MSI_SAME_ROOM_TITLE
67,MSI_TOO_MANY_PEOPLE_IN_ROOM
68,MSI_YOU_HAVE_BANNED_FROM_THE_ROOM
69,MSI_REJECT_DEAL
70,MSI_TOO_FAR_TO_DEAL
71,MSI_CHARACTER_IS_NOT_EXIST
72,MSI_CHARACTER_IS_DEALING
73,MSI_CHARACTER_IS_OVER_WEIGHT
74,MSI_DEAL_IS_CANCELED
75,MSI_DEAL_SUCCESS
76,MSI_DEAL_FAILED
77,MSI_PARTY_MAKE_SUCCEED
78,MSI_SAME_PARTY_NAME
79,MSI_YOU_ARE_ALREADY_IN_PARTY
80,MSI_CHARACTER_IS_ALREADY_IN_PARTY
81,MSI_CHARACTER_REJECT_JOIN
82,MSI_CHARACTER_ACCEPT_JOIN
83,MSI_TOO_MANY_PEOPLE_IN_PARTY
84,MSI_YOU_LEAVE_FROM_PARTY
85,MSI_SEND_TO_ALL
86,MSI_SEND_TO_PARTY
87,MSI_REQ_DEAL_WITH
88,MSI_REQ_JOIN_PARTY
89,MSI_ROOM_PRIVATE
90,MSI_ROOM_PUBLIC
91,MSI_RESTART_MSG
92,MSI_SELECT_DEAL_TYPE
93,MSI_SUGGEST_DEAL
94,MSI_SUGGEST_JOIN_PARTY
95,MSI_INVALID_COMMAND
96,MSI_LEAVE_PARTY
97,MSI_EXPEL
98,MSI_MSG
99,MSI_1ON1
100,MSI_CHARACTER_INFO
101,MSI_PARTY_SETTING
102,MSI_FRIEND
103,MSI_PARTY
104,MSI_EQUIPED_ITEM
105,MSI_STATUS
106,MSI_ITEM
107,MSI_EXPLAIN_PARTY
108,MSI_EXPLAIN_TIP3
109,MSI_RESTORE
110,MSI_ATTACK
111,MSI_SUPPORT
112,MSI_ALL
113,MSI_WEAPON
114,MSI_DEFENCE
115,MSI_WATER
116,MSI_EARTH
117,MSI_FIRE
118,MSI_WIND
119,MSI_EQUIPITEM_OLNY_ONE
120,MSI_ONLY_16BIT_WHEN_WINDOWMODE
121,MSI_PLEASE_BE_PATIENT
122,MSI_WAITING_RESPONSE_FROM_SERVER
123,MSI_MAKING_CHARACTER
124,MSI_DELETING_CHARACTER
125,MSI_MAKING_ROOM
126,MSI_CHANGE_ROOM_SETTING
127,MSI_BAN
128,MSI_GIVE_GIVE_ROOM_POWER
129,MSI_SEE_INFORMATION_OF_CHARACTER
130,MSI_CHAT_ROOM
131,MSI_COUNT_UNIT_OF_PEOPLE
132,MSI_EXPLAIN_SIT
133,MSI_EXPLAIN_STAND
134,MSI_EXPLAIN_MAKE_CHAT
135,MSI_EXPLAIN_EXIT_CHAT_ROOM
136,MSI_EXPLAIN_DEAL
137,MSI_EXPLAIN_ORGANIZE_PARTY
138,MSI_EXPLAIN_LEAVE_PARTY
139,MSI_EXPLAIN_EXPEL_PARTY_MEMBER
140,MSI_EXPLAIN_TIP4
141,MSI_EXPLAIN_TIP5
142,MSI_EXPLAIN_TIP6
143,MSI_YOU_RECEIVE_MVP_ITEM
144,MSI_YOU_RECEIVE_MVP_ITEM2
145,MSI_YOU_RECEIVE_MVP_EXP
146,MSI_YOU_RECEIVE_MVP_EXP2
147,MSI_YOU_THROW_MVPITEM
148,MSI_NOT_EXIST_CHARACTER
149,MSI_NO_RECEIVE_MODE
150,MSI_NO_RECEIVE_MODE_FOR_ALL
151,MSI_SUCCESS_DISCONNECT_CHARACTER
152,MSI_FAIL_DISCONNECT_CHARACTER
153,MSI_GET_ITEM
154,MSI_EXPLAIN_TIP7
155,MSI_EXPLAIN_TIP8
156,MSI_EXPLAIN_TIP9
157,MSI_EXPLAIN_TIP10
158,MSI_EXPLAIN_TIP11
159,MSI_NOT_ENOUGH_SKILLLEVE1
160,MSI_NOT_ENOUGH_SKILLLEVE2
161,MSI_NOT_ENOUGH_SKILLLEVE3
162,MSI_NOT_ENOUGH_SKILLLEVE4
163,MSI_NOT_ENOUGH_SKILLLEVE5
164,MSI_NOT_ENOUGH_SKILLLEVE6
165,MSI_NOT_ENOUGH_SKILLLEVE7
166,MSI_ITEMS_FOR_BUY
167,MSI_ITEM_STORE
168,MSI_ITEMS_FOR_SELL
169,MSI_ITEMS_THAT_IS_STORED
170,MSI_ITEM_IS_EQUIPED
171,MSI_ITEM_IS_REMOVED
172,MSI_ADD_TO_WHISPER_CHAR_LIST
173,MSI_EXPLAIN_TIP12
174,MSI_TIPOFTHEDAY
175,MSI_DIDYOUKNOW
176,MSI_SHOWTIPSATSTARTUP
177,MSI_EXPLAIN_OPENTIP
178,MSI_NUMPEOPLE
179,MSI_USERGETINTHEROOM
180,MSI_USERGETOUTOFTHEROOM
181,MSI_USERGETOUTOFTHEROOMBYFORCE
182,MSI_EA
183,MSI_EA2
184,MSI_EA3
185,MSI_ITEMSYOUCANSELL
186,MSI_SHOPITEMS
187,MSI_NOWHERE
188,MSI_CLIENTTYPEMISMATCH
189,MSI_CLOSEEQUIPWND
190,MSI_ENGLISHONLY
191,MSI_NOTSUPPORTEDYET
192,MSI_NOWHISPERLIST
193,MSI_WHISPERIGNORESUCCESS
194,MSI_WHISPERIGNOREFAILED1
195,MSI_WHISPERIGNOREFAILED2
196,MSI_WHISPERNOIGNORESUCCESS
197,MSI_WHISPERNOIGNOREFAILED1
